BF;    19;20180117  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;KG;       15600;   0,07650;        
BF;    35;20180125  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;KG;       18000;   0,07650;        
BF;   219;20180516  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;KG;       10500;   0,07650;        
BF;   477;20181107  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;KG;       12000;   0,07650;        
BF;   258;20180613  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;KG;       12000;   0,07650;        
BF;   548;20181217  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;KG;        9000;   0,07650;        
BF;   436;20181016  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;KG;       12000;   0,07650;        
BF;   129;20180316  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;KG;       15000;   0,07650;        
BF;   367;20180910  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0228   ;CARBOX SECCO MICRONIZATO IN SACC                                        ;KG;        9000;   0,07650;        
BF;   547;20181217  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;KG;        6480;   0,08860;        
BF;   437;20181016  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;KG;        6480;   0,08860;        
BF;   257;20180613  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;KG;        6480;   0,08860;        
BF;   327;20180725  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;KG;       16200;   0,08860;        
BF;   220;20180516  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;KG;        8100;   0,08860;        
BF;   476;20181107  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;KG;        3240;   0,08860;        
BF;    74;20180222  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;KG;       16200;   0,08860;        
BF;   368;20180910  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;KG;        6480;   0,08860;        
BF; 30664;20181003  ;401.00068;EIGENMANN & VERONELLI                                       ;A0235   ;SIPERNAT 820 A                                                          ;KG;        1050;   1,50000;        
BF; 35026;20181109  ;401.00068;EIGENMANN & VERONELLI                                       ;A0235   ;SIPERNAT 820 A                                                          ;KG;        1000;   1,50000;        
BF;  1549;20180112  ;401.00068;EIGENMANN & VERONELLI                                       ;A0235   ;SIPERNAT 820 A                                                          ;KG;         500;   1,50000;        
BF; 19349;20181024  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;KG;       19900;   0,85000;        
BF;  3894;20180305  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;KG;       21520;   0,79000;        
BF; 12743;20180711  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;KG;       19740;   0,86500;        
BF;   650;20180112  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;KG;       21500;   0,79000;        
BF;  8844;20180516  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;KG;       19280;   0,83500;        
BF; 12679;20180521  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0302   ;ACIDO LAURICO                                                           ;KG;        3000;   1,70000;        
BF; 18950;20180726  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0302   ;ACIDO LAURICO                                                           ;KG;        4500;   1,48000;        
