BF;    74;20180222  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;       16200;    0,0886;        
BF;   368;20180910  ;401.00001;MINERALS & METALS ITALIA SPA                                ;A0229   ;SOLEX BNR CRUDO MICRONIZZATO-SAC                                        ;        6480;    0,0886;        
BF; 30664;20181003  ;401.00068;EIGENMANN & VERONELLI                                       ;A0235   ;SIPERNAT 820 A                                                          ;        1050;       1,5;        
BF; 35026;20181109  ;401.00068;EIGENMANN & VERONELLI                                       ;A0235   ;SIPERNAT 820 A                                                          ;        1000;       1,5;        
BF;  1549;20180112  ;401.00068;EIGENMANN & VERONELLI                                       ;A0235   ;SIPERNAT 820 A                                                          ;         500;       1,5;        
BF; 19349;20181024  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;       19900;      0,85;        
BF;  3894;20180305  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;       21520;      0,79;        
BF; 12743;20180711  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;       19740;     0,865;        
BF;   650;20180112  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;       21500;      0,79;        
BF;  8844;20180516  ;401.00270;RAINOLDI S.P.A.                                             ;A0300   ;ACIDO FOSFORICO (75%)                                                   ;       19280;     0,835;        
BF; 12679;20180521  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0302   ;ACIDO LAURICO                                                           ;        3000;       1,7;        
BF; 18950;20180726  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0302   ;ACIDO LAURICO                                                           ;        4500;      1,48;        
BF;  3739;20180209  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0302   ;ACIDO LAURICO                                                           ;        5250;      1,84;        
BF; 22920;20180925  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0302   ;ACIDO LAURICO                                                           ;        8250;      1,45;        
BF; 27313;20181112  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0302   ;ACIDO LAURICO                                                           ;       12000;      1,35;        
BF; 22981;20181218  ;401.00270;RAINOLDI S.P.A.                                             ;A0305   ;ACIDO FLUOBORICO 50%                                                    ;        1400;       2,6;        
BF; 11580;20180625  ;401.00270;RAINOLDI S.P.A.                                             ;A0305   ;ACIDO FLUOBORICO 50%                                                    ;        1400;       2,6;        
BF;  2767;20180222  ;401.00270;RAINOLDI S.P.A.                                             ;A0305   ;ACIDO FLUOBORICO 50%                                                    ;        1400;       2,6;        
BF;   677;20180112  ;401.00270;RAINOLDI S.P.A.                                             ;A0316   ;TALCO BIANCO HTP2 ( Ex.HM2)                                             ;        2200;      0,63;        
BF;  3647;20180226  ;401.00270;RAINOLDI S.P.A.                                             ;A0316   ;TALCO BIANCO HTP2 ( Ex.HM2)                                             ;        3300;      0,63;        
BF; 21211;20181121  ;401.00270;RAINOLDI S.P.A.                                             ;A0316   ;TALCO BIANCO HTP2 ( Ex.HM2)                                             ;        3300;      0,63;        
