CL; 28183;20191210  ;         ;                                                            ;H5700V5 ;Panchem 5700/5 V                                                        ;        4000;   1,29561;        
CL; 26699;20190109  ;         ;                                                            ;H5703M  ;Panchem 5703 M                                                          ;        1500;   0,81116;        
CL; 26987;20190311  ;         ;                                                            ;H5703M  ;Panchem 5703 M                                                          ;        1500;   0,85578;        
CL; 26700;20190109  ;         ;                                                            ;H5703M  ;Panchem 5703 M                                                          ;         100;   0,81116;        
CL; 27487;20190619  ;         ;                                                            ;H5703M  ;Panchem 5703 M                                                          ;        1500;   0,85578;        
CL; 27253;20190508  ;         ;                                                            ;H5703T  ;Panchem 5703 T                                                          ;         300;   1,51084;        
CL; 27640;20190719  ;         ;                                                            ;H5710V  ;Panchem 5710 V                                                          ;         400;   1,37631;        
CL; 26694;20190109  ;         ;                                                            ;H5712T  ;Panchem 5712 T                                                          ;         500;   0,75809;        
CL; 27213;20190424  ;         ;                                                            ;H5712T  ;Panchem 5712 T                                                          ;        5000;   1,40195;        
CL; 27498;20190620  ;         ;                                                            ;H5712T  ;Panchem 5712 T                                                          ;        5000;   1,52079;        
CL; 27148;20190410  ;         ;                                                            ;H5712T1 ;Panchem 5712/1 T                                                        ;        2000;    1,2892;        
CL; 26795;20190124  ;         ;                                                            ;H5712T1 ;Panchem 5712/1 T                                                        ;        2600;    0,8789;        
CL; 27648;20190723  ;         ;                                                            ;H5730M  ;Panchem 5730 M                                                          ;       18000;   0,66338;        
CL; 26881;20190212  ;         ;                                                            ;H5730M  ;Panchem 5730 M                                                          ;       14000;   0,68759;        
CL; 28108;20191120  ;         ;                                                            ;H5730M  ;Panchem 5730 M                                                          ;       15000;   0,66655;        
CL; 27416;20190605  ;         ;                                                            ;H5730M  ;Panchem 5730 M                                                          ;       10000;   0,66882;        
CL; 27001;20190312  ;         ;                                                            ;H5730M  ;Panchem 5730 M                                                          ;       15000;   0,66882;        
CL; 26689;20190108  ;         ;                                                            ;H5730M  ;Panchem 5730 M                                                          ;       10000;   0,66592;        
CL; 26866;20190211  ;         ;                                                            ;N4700   ;Pancover S 4700                                                         ;         850;   1,64076;        
CL; 27879;20190925  ;         ;                                                            ;N4700   ;Pancover S 4700                                                         ;         800;   1,64493;        
CL; 27267;20190510  ;         ;                                                            ;N4700   ;Pancover S 4700                                                         ;         800;   1,64493;        
CL; 27017;20190315  ;         ;                                                            ;N4700   ;Pancover S 4700                                                         ;         800;   1,64493;        
CL; 27666;20190726  ;         ;                                                            ;N4700   ;Pancover S 4700                                                         ;         800;   1,64493;        
CL; 27165;20190412  ;         ;                                                            ;N4700   ;Pancover S 4700                                                         ;         800;   1,64493;        
CL; 27366;20190524  ;         ;                                                            ;N4700 2 ;Pancover S 4700/2                                                       ;         100;   1,94481;        
CL; 26706;20190110  ;         ;                                                            ;N4700 2 ;Pancover S 4700/2                                                       ;         800;   1,80406;        
CL; 28100;20191119  ;         ;                                                            ;N4700 2 ;Pancover S 4700/2                                                       ;          40;   1,97595;        
CL; 28099;20191119  ;         ;                                                            ;N4700 2 ;Pancover S 4700/2                                                       ;         160;   1,97595;        
CL; 27227;20190502  ;         ;                                                            ;N4700 2 ;Pancover S 4700/2                                                       ;        1800;   1,75518;        
CL; 27029;20190319  ;         ;                                                            ;N4700 3 ;Pancover S 4700/3                                                       ;          20;   1,73347;        
CL; 27849;20190921  ;         ;                                                            ;N4710   ;Pancover 4710                                                           ;         720;   1,76505;        
