BF;  6567;20190308  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0302   ;ACIDO LAURICO                                                           ;KG;       15000;   1,29000;        
BF; 51229;20190913  ;401.00265;PACIFIC OLEOCHEMICALS SDN BHD                               ;A0302   ;ACIDO LAURICO / KORTACID 1299BEAD                                       ;KG;       24000;   0,78000;        
BF; 50430;20190705  ;401.00265;PACIFIC OLEOCHEMICALS SDN BHD                               ;A0302   ;ACIDO LAURICO/KORTACID 1299                                             ;KG;       24000;   0,78000;        
BF;   739;20190109  ;401.00087;GAMMA CHIMICA  S.P.A.                                       ;A0302   ;ACIDO LAURICO                                                           ;KG;       12000;   1,29000;        
BF; 20537;20191107  ;401.00270;RAINOLDI S.P.A.                                             ;A0305   ;ACIDO FLUOBORICO 50%                                                    ;KG;        1400;   2,60000;        
BF;  9461;20190522  ;401.00270;RAINOLDI S.P.A.                                             ;A0305   ;ACIDO FLUOBORICO 50%                                                    ;KG;        1400;   2,60000;        
BF; 15741;20190828  ;401.00270;RAINOLDI S.P.A.                                             ;A0305   ;ACIDO FLUOBORICO 50%                                                    ;KG;        1400;   2,60000;        
BF;  7487;20191008  ;401.00295;RESCHEM ITALIA SpA                                          ;A0316   ;TALCO BIANCO HTP2 ( Ex.HM2)                                             ;KG;        1000;   0,52000;        
BF;  5302;20190320  ;401.00270;RAINOLDI S.P.A.                                             ;A0316   ;TALCO BIANCO HTP2 ( Ex.HM2)                                             ;KG;        3300;   0,63000;        
BF;   326;20190108  ;401.00270;RAINOLDI S.P.A.                                             ;A0316   ;TALCO BIANCO HTP2 ( Ex.HM2)                                             ;KG;        3300;   0,63000;        
BF;  7686;20191015  ;401.00295;RESCHEM ITALIA SpA                                          ;A0316   ;TALCO BIANCO HTP2 ( Ex.HM2)                                             ;KG;        1000;   0,52000;        
